X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
550,137.5,682,1050.5,0,0,0,1.38,0.5,40,0.62,28,89.56
550,137.5,682,1050.5,0,0,0,1.38,1,40,0.62,28,92.11
550,137.5,682,1050.5,0,0,0,1.38,1.5,40,0.62,28,94.55
550,137.5,682,1050.5,0,0,0,1.38,0.5,50,0.62,28,88.74
550,137.5,682,1050.5,0,0,0,1.38,1,50,0.62,28,92.51
550,137.5,682,1050.5,0,0,0,1.38,1.5,50,0.62,28,94.86
550,137.5,682,1050.5,0,0,0,1.38,0.5,60,0.75,28,88.33
550,137.5,682,1050.5,0,0,0,1.38,1,60,0.75,28,93.43
550,137.5,682,1050.5,0,0,0,1.38,1.5,60,0.75,28,95.68
450,157.5,715.5,1053,0,0,0,0.68,0.5,40,0.62,28,70.79
450,157.5,715.5,1053,0,0,0,0.68,1,40,0.62,28,73.75
450,157.5,715.5,1053,0,0,0,0.68,1.5,40,0.62,28,77.42
450,157.5,715.5,1053,0,0,0,0.68,0.5,50,0.62,28,75.28
450,157.5,715.5,1053,0,0,0,0.68,1,50,0.62,28,77.93
450,157.5,715.5,1053,0,0,0,0.68,1.5,50,0.62,28,78.85
450,157.5,715.5,1053,0,0,0,0.68,0.5,60,0.75,28,69.36
450,157.5,715.5,1053,0,0,0,0.68,1,60,0.75,28,72.01
450,157.5,715.5,1053,0,0,0,0.68,1.5,60,0.75,28,80.17
350,157.5,798,1078,0,0,0,0.42,0.5,40,0.62,28,61.91
350,157.5,798,1078,0,0,0,0.42,1,40,0.62,28,65.38
350,157.5,798,1078,0,0,0,0.42,1.5,40,0.62,28,63.55
350,157.5,798,1078,0,0,0,0.42,0.5,50,0.62,28,56.92
350,157.5,798,1078,0,0,0,0.42,1,50,0.62,28,63.55
350,157.5,798,1078,0,0,0,0.42,1.5,50,0.62,28,65.48
350,157.5,798,1078,0,0,0,0.42,0.5,60,0.75,28,60.08
350,157.5,798,1078,0,0,0,0.42,1,60,0.75,28,60.89
350,157.5,798,1078,0,0,0,0.42,1.5,60,0.75,28,67.52
550,137.5,682,1050.5,0,0,0,1.38,0,0,0,28,87.21
450,157.5,715.5,1053,0,0,0,0.68,0,0,0,28,62.93
350,157.5,798,1078,0,0,0,0.42,0,0,0,28,53.45
520,156,860,886,0,0,0,5.2,0,60,0.75,7,71.2
520,156,860,886,0,0,0,5.2,0,60,0.75,28,82.6
520,156,860,886,0,0,0,5.2,0,60,0.75,91,88.3
468,156,851,877,52,0,0,5.2,0,60,0.75,7,75.2
468,156,851,877,52,0,0,5.2,0,60,0.75,28,88.8
468,156,851,877,52,0,0,5.2,0,60,0.75,91,98
468,156,847,873,52,0,0,5.72,0.25,60,0.75,7,76.1
468,156,847,873,52,0,0,5.72,0.25,60,0.75,28,92.3
468,156,847,873,52,0,0,5.72,0.25,60,0.75,91,98.5
468,156,844,870,52,0,0,5.72,0.5,60,0.75,7,77.4
468,156,844,870,52,0,0,5.72,0.5,60,0.75,28,93.8
468,156,844,870,52,0,0,5.72,0.5,60,0.75,91,102
468,156,841,867,52,0,0,6.24,0.75,60,0.75,7,78.3
468,156,841,867,52,0,0,6.24,0.75,60,0.75,28,95
468,156,841,867,52,0,0,6.24,0.75,60,0.75,91,102.6
468,156,838,863,52,0,0,6.24,1,60,0.75,7,79.9
468,156,838,863,52,0,0,6.24,1,60,0.75,28,98.7
468,156,838,863,52,0,0,6.24,1,60,0.75,91,104.3
400,140,756,1135,0,0,0,4,0,35,0.55,7,72.06
400,140,756,1135,0,0,0,4,0,35,0.55,28,86.27
400,140,756,1135,0,0,0,4,0,35,0.55,90,96.79
400,140,756,1135,0,0,0,4,0,35,0.55,365,115.03
400,140,754,1131,0,0,0,4,0.25,35,0.55,7,79.11
400,140,754,1131,0,0,0,4,0.25,35,0.55,28,88.85
400,140,754,1131,0,0,0,4,0.25,35,0.55,90,99.7
400,140,754,1131,0,0,0,4,0.25,35,0.55,365,115.26
400,140,751,1127,0,0,0,4,0.5,35,0.55,7,73.29
400,140,751,1127,0,0,0,4,0.5,35,0.55,28,87.51
400,140,751,1127,0,0,0,4,0.5,35,0.55,90,94.44
400,140,751,1127,0,0,0,4,0.5,35,0.55,365,112.91
400,140,746,1119,0,0,0,4,1,35,0.55,7,70.5
400,140,746,1119,0,0,0,4,1,35,0.55,28,90.08
400,140,746,1119,0,0,0,4,1,35,0.55,90,98.7
400,140,746,1119,0,0,0,4,1,35,0.55,365,107.87
400,140,740,1111,0,0,0,4,1.5,35,0.55,7,74.64
400,140,740,1111,0,0,0,4,1.5,35,0.55,28,90.64
400,140,740,1111,0,0,0,4,1.5,35,0.55,90,99.93
400,140,740,1111,0,0,0,4,1.5,35,0.55,365,109.33
340,140,750,1124,0,60,0,4,0,35,0.55,7,61.66
340,140,750,1124,0,60,0,4,0,35,0.55,28,75.87
340,140,750,1124,0,60,0,4,0,35,0.55,90,89.74
340,140,750,1124,0,60,0,4,0,35,0.55,365,105.75
340,140,747,1120,0,60,0,4,0.25,35,0.55,7,62.1
340,140,747,1120,0,60,0,4,0.25,35,0.55,28,77.66
340,140,747,1120,0,60,0,4,0.25,35,0.55,90,91.53
340,140,747,1120,0,60,0,4,0.25,35,0.55,365,107.42
340,140,744,1116,0,60,0,4,0.5,35,0.55,7,61.99
340,140,744,1116,0,60,0,4,0.5,35,0.55,28,76.43
340,140,744,1116,0,60,0,4,0.5,35,0.55,90,87.51
340,140,744,1116,0,60,0,4,0.5,35,0.55,365,105.41
340,140,739,1108,0,60,0,4,1,35,0.55,7,61.1
340,140,739,1108,0,60,0,4,1,35,0.55,28,80.23
340,140,739,1108,0,60,0,4,1,35,0.55,90,90.86
340,140,739,1108,0,60,0,4,1,35,0.55,365,105.75
